id_puesto,municipio,zona,num_puesto,nombre_puesto,votos_camilo,votos_sanchez,votos_nanclares,votos_carvalho_2022,votos_hoyos,votos_zuluaga,votos_creemos,votos_pacto,votos_cd_total,nombre_norm,PUESTO,DIRECCIÓN,lat,lon,COMUNA,tipo_match,pct_medellin_camilo,pct_zona_camilo,pct_medellin_carvalho,pct_zona_carvalho,pct_medellin_sanchez,pct_zona_sanchez,pct_medellin_nanclares,pct_zona_nanclares,pct_medellin_hoyos,pct_zona_hoyos,pct_medellin_creemos,pct_zona_creemos,pct_medellin_pacto,pct_zona_pacto,pct_medellin_cd,pct_zona_cd
10_5,MEDELLIN,10,5.0,IE FELIX DE BEDOUT MORENO,12,8,6,37,9,26,425,589,638,IE FELIX DE BEDOUT MORENO,IE FELIX DE BEDOUT MORENO,CLL 108 No 70-39,6.3062053,-75.5695653,05COMUNA 5 CASTILLA,exacto,0.1821,11.0092,0.1544,10.6017,0.2813,12.6984,0.1949,12.2449,0.0579,5.6604,0.2563,9.2613,0.3478,9.4029,0.2136,9.337
10_6,MEDELLIN,10,6.0,TERMINAL DE TRANSPORTES DEL NORTE,0,4,2,0,1,12,91,200,172,TERMINAL DE TRANSPORTES DEL NORTE,TERMINAL DE TRANSPORTES DEL NORTE,CR 64 C No 78  580,6.2793147,-75.5708468,05COMUNA 5 CASTILLA,exacto,0.0,0.0,0.0,0.0,0.1406,6.3492,0.065,4.0816,0.0064,0.6289,0.0549,1.983,0.1181,3.1928,0.0576,2.5172
11_1,MEDELLIN,11,1.0,I.E. CIUDADELA LAS AMERICAS,10,10,5,54,28,40,946,1156,1328,I.E. CIUDADELA LAS AMERICAS,I.E. CIUDADELA LAS AMERICAS,CL 111 # 79-77,6.3085993,-75.5753986,06COMUNA 6 DOCE DE OCTUBRE,exacto,0.1517,22.7273,0.2253,24.2152,0.3516,22.2222,0.1624,17.8571,0.1801,26.4151,0.5706,23.3696,0.6827,21.0795,0.4445,23.4961
11_2,MEDELLIN,11,2.0,I.E. PROGRESAR,7,3,7,25,9,55,458,606,784,I.E. PROGRESAR,I.E. PROGRESAR,KR 83A # 106 D 5,6.3085984,-75.5805409,06COMUNA 6 DOCE DE OCTUBRE,exacto,0.1062,15.9091,0.1043,11.2108,0.1055,6.6667,0.2274,25.0,0.0579,8.4906,0.2763,11.3142,0.3579,11.0503,0.2624,13.8712
11_3,MEDELLIN,11,3.0,SEC. ESC. LEON DE GREIFF,4,4,3,33,16,28,491,593,792,SEC. ESC. LEON DE GREIFF,SEC. ESC. LEON DE GREIFF,CL 101CC # 82E-72,6.3022944,-75.5808114,06COMUNA 6 DOCE DE OCTUBRE,exacto,0.0607,9.0909,0.1377,14.7982,0.1406,8.8889,0.0975,10.7143,0.1029,15.0943,0.2962,12.1294,0.3502,10.8133,0.2651,14.0127
11_4,MEDELLIN,11,4.0,I.E. DOCE DE OCTUBRE,4,8,4,30,16,49,770,553,1046,I.E. DOCE DE OCTUBRE,I.E. DOCE DE OCTUBRE,KR 77B # 103-05,6.3030409,-75.5769557,06COMUNA 6 DOCE DE OCTUBRE,exacto,0.0607,9.0909,0.1252,13.4529,0.2813,17.7778,0.13,14.2857,0.1029,15.0943,0.4644,19.0217,0.3266,10.0839,0.3501,18.5067
11_5,MEDELLIN,11,5.0,I.E. JOSE MARIA ESPINOSA PRIETO - CASD,0,3,2,11,4,9,226,408,294,I.E. JOSE MARIA ESPINOSA PRIETO - CASD,CASD JOSE MARIA ESPINOSA PRIETO,CLL 99 No 72-192,6.2970097,-75.5755596,06COMUNA 6 DOCE DE OCTUBRE,fuzzy,0.0,0.0,0.0459,4.9327,0.1055,6.6667,0.065,7.1429,0.0257,3.7736,0.1363,5.583,0.2409,7.4398,0.0984,5.2017
11_6,MEDELLIN,11,6.0,I.E. EL TRIUNFO SANTA TERESA,1,1,1,8,11,23,181,469,323,I.E. EL TRIUNFO SANTA TERESA,I.E. EL TRIUNFO SANTA TERESA,CALLE 104D # 82GG - 21,6.3065152,-75.5811794,06COMUNA 6 DOCE DE OCTUBRE,exacto,0.0152,2.2727,0.0334,3.5874,0.0352,2.2222,0.0325,3.5714,0.0707,10.3774,0.1092,4.4713,0.277,8.5522,0.1081,5.7148
11_7,MEDELLIN,11,7.0,I.E. SANTA JUANA DE LESTONNAC,14,13,4,52,11,25,666,1053,624,I.E. SANTA JUANA DE LESTONNAC,IE SANTA JUANA DE LESTONACC,CRA 76A No 103C-43,6.3030437,-755.755,06COMUNA 6 DOCE DE OCTUBRE,fuzzy,0.2124,31.8182,0.217,23.3184,0.4571,28.8889,0.13,14.2857,0.0707,10.3774,0.4017,16.4526,0.6218,19.2013,0.2089,11.0403
11_8,MEDELLIN,11,8.0,I.E. JESUS MARIA VALLE,4,3,2,10,11,23,310,646,461,I.E. JESUS MARIA VALLE,IE JESUS MARIA VALLE JARAMILLO,CLL 101 No 83-21,6.3004809,-75.5822333,06COMUNA 6 DOCE DE OCTUBRE,fuzzy,0.0607,9.0909,0.0417,4.4843,0.1055,6.6667,0.065,7.1429,0.0707,10.3774,0.187,7.6581,0.3815,11.7797,0.1543,8.1564
12_1,MEDELLIN,12,1.0,I.E.MAESTRO FERNANDO BOTERO,10,6,12,90,28,74,1026,995,1529,I.E.MAESTRO FERNANDO BOTERO,I.E.MAESTRO FERNANDO BOTERO,CL 104 # 72A-80,6.3015698,-75.5719519,06COMUNA 6 DOCE DE OCTUBRE,exacto,0.1517,12.987,0.3755,29.0323,0.211,18.75,0.3899,23.0769,0.1801,19.7183,0.6189,20.648,0.5876,17.0552,0.5118,21.1861
12_2,MEDELLIN,12,2.0,I.E.ALFREDO COCK ARANGO,12,3,10,44,34,68,909,987,1288,I.E.ALFREDO COCK ARANGO,I.E.ALFREDO COCK ARANGO,KR 72 # 99-55,6.2962348,-75.5737998,06COMUNA 6 DOCE DE OCTUBRE,exacto,0.1821,15.5844,0.1836,14.1935,0.1055,9.375,0.3249,19.2308,0.2187,23.9437,0.5483,18.2934,0.5829,16.9181,0.4312,17.8468
12_3,MEDELLIN,12,3.0,SEC.ESC.SAN MARTIN DE PORRES,9,4,9,26,12,63,614,641,883,SEC.ESC.SAN MARTIN DE PORRES,SEC.ESC.SAN MARTIN DE PORRES,KR 75A # 97-135,6.2958628,-75.5786048,06COMUNA 6 DOCE DE OCTUBRE,exacto,0.1366,11.6883,0.1085,8.3871,0.1406,12.5,0.2924,17.3077,0.0772,8.4507,0.3703,12.3566,0.3785,10.9873,0.2956,12.235
12_4,MEDELLIN,12,4.0,I.E. KENNEDY,11,6,12,44,33,49,906,815,1497,I.E. KENNEDY,I.E. KENNEDY,CRA 76A  No 92-200,6.2912824,-75.5815187,06COMUNA 6 DOCE DE OCTUBRE,exacto,0.1669,14.2857,0.1836,14.1935,0.211,18.75,0.3899,23.0769,0.2122,23.2394,0.5465,18.233,0.4813,13.9698,0.5011,20.7427
12_5,MEDELLIN,12,5.0,SEC.CONCENTRACION EDUC.KENNEDY,12,3,2,47,17,34,635,869,746,SEC.CONCENTRACION EDUC.KENNEDY,SEC.CONCENTRACION EDUC.KENNEDY,CARRERA 76A # 92-131,6.2907455,-75.5816447,06COMUNA 6 DOCE DE OCTUBRE,exacto,0.1821,15.5844,0.1961,15.1613,0.1055,9.375,0.065,3.8462,0.1093,11.9718,0.383,12.7792,0.5132,14.8954,0.2497,10.3367
